Nro.,Cargo,Sexo,Edad,Facultad,Mejores características,Importancia,Beneficios,EUCALIPTO,SAUCE COMÚN ,TUYA,PALMA DATILERA,GUARARO,LUMA,MORERA,CEIBO,CEDRO ,AGUACATE ,ARABISCO ,GUABA,NÍSPERO ,PALMA ORNAMENTAL ,GUAYACÁN ,HIBISCUS ,SICOMORO,ARAUCARIA,HIGUERA,TILO,GUATO,POMARROSA,ARRAYÁN,PUMAMAQUI ,CEDRO COLORADO , CALISTEMO O CEPILLO ROJO,SWARTZIA,ROMERILLO,DURAZNO,ACACIA BLANCA, TECOMA,MAGNOLIA,SAUCE PIRAMIDAL,GUALLAG O GUAYALO,FRESNO,PINO,COCO NEGRO, SANGUILAMO,LEUCAENA,SECOYA,CIPRÉ,ARUPO ,CAPULÍ ,NOGAL,FICUS RETUSA,NANUME,CIPRÉ,CASUARINA,ALISO,CIPRÉ,PROSOPIS,FAIQUE,PALMA FÉNIX,SOLANUM,CHIRIMOYA,TORONCHE
14,Estudiante,Mujer,18,Educación a Distancia,Tronco,4,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15,Estudiante,Hombre,20,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado",5,5,5,5,4,4,4,3,4,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5,4,0,4,5,4,5,4,5,5,5,4,4
16,Estudiante,Hombre,20,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Flores, Frutos, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",2,5,5,4,4,5,2,5,5,2,5,5,5,3,5,5,5,5,3,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,2,4,5,4
17,Estudiante,Mujer,23,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",5,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,3,5,3,4,3,4,5,4,5,4,4,5,4,4,4,5,4,4,5,5,5,4,3,5,5,5,4,4,4,3,5,4,4,5,3,5,5,4,4,3
18,Docente,Mujer,40,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Hojas, Flores",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Reducen la erosión",4,4,1,2,3,5,4,3,4,3,4,4,5,2,5,4,4,1,5,2,2,2,4,4,4,2,4,3,4,2,2,5,0,3,3,4,2,3,3,4,5,3,3,3,3,3,1,1,4,3,3,4,4,1,3,4
19,Estudiante,Hombre,22,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Forma de la copa, Flores, Frutos",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",0,3,4,3,4,5,4,3,5,3,4,3,4,3,4,4,4,3,4,4,4,5,5,4,4,5,5,4,5,4,4,5,5,5,5,4,4,5,3,4,4,4,4,4,5,5,3,3,2,4,4,4,3,4,5,5
20,Administrativo,Mujer,38,Administración Central,"Forma de la copa, Flores, Frutos",5,"Colectan las partículas del aire contaminado, Producen oxígeno, Reducen la erosión",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,4,5,4,5,5,4,5,4,5,5
21,Estudiante,Hombre,31,"Facultad Jurídica, Social y Administrativa",Hojas,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,5,5,2,4,5,2,5,5,5,2,3,5,1,3,5,5,5,5,5,3,5,3,4,5,4,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,3,5
22,Estudiante,Hombre,26,Educación a Distancia,"Forma de la copa, Corteza, Tronco",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Refugio de vida silvestre",5,5,4,4,4,5,4,5,5,4,4,5,5,5,5,5,4,5,5,4,4,4,5,5,5,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,5,5,4,4,4,4,5,4,5,4,4,5,5,4,4,5
23,Administrativo,Mujer,23,Administración Central,"Flores, Frutos, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Almacenan carbono",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
