Nro.,Cargo,Sexo,Edad,Facultad,Mejores características,Importancia,Beneficios,EUCALIPTO,SAUCE COMÚN ,TUYA,PALMA DATILERA,GUARARO,LUMA,MORERA,CEIBO,CEDRO ,AGUACATE ,ARABISCO ,GUABA,NÍSPERO ,PALMA ORNAMENTAL ,GUAYACÁN ,HIBISCUS ,SICOMORO,ARAUCARIA,HIGUERA,TILO,GUATO,POMARROSA,ARRAYÁN,PUMAMAQUI ,CEDRO COLORADO , CALISTEMO O CEPILLO ROJO,SWARTZIA,ROMERILLO,DURAZNO,ACACIA BLANCA, TECOMA,MAGNOLIA,SAUCE PIRAMIDAL,GUALLAG O GUAYALO,FRESNO,PINO,COCO NEGRO, SANGUILAMO,LEUCAENA,SECOYA,CIPRÉ,ARUPO ,CAPULÍ ,NOGAL,FICUS RETUSA,NANUME,CIPRÉ,CASUARINA,ALISO,CIPRÉ,PROSOPIS,FAIQUE,PALMA FÉNIX,SOLANUM,CHIRIMOYA,TORONCHE
52,Estudiante,Hombre,24,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Hojas, Corteza, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",5,4,5,3,4,5,4,4,5,4,4,3,4,5,4,4,3,5,3,4,3,3,3,4,5,5,4,5,4,4,4,4,5,5,4,5,3,3,3,5,4,4,3,3,3,3,4,5,3,4,3,1,5,4,4,2
53,Estudiante,Mujer,29,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Reducen la erosión",3,2,4,2,1,3,2,1,4,1,2,1,2,3,1,2,1,4,3,3,3,3,2,1,3,2,2,4,2,1,2,3,3,4,3,4,2,2,4,4,4,1,3,3,3,3,4,2,3,4,2,4,4,2,3,1
54,Estudiante,Mujer,20,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5
55,Docente,Hombre,46,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Colectan las partículas del aire contaminado",5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,4,5,5,4,4,5,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,4,3,5,5,4,4,5,5,5,5,5
56,Estudiante,Mujer,25,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Tronco",5,"Proporcionan paz y tranquilidad, Producen oxígeno, Reducen la erosión",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5
57,Estudiante,Hombre,28,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables",Color (el verde le da vida al espacio),5,"Producen oxígeno, Reducen la erosión, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
58,Estudiante,Hombre,21,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Frutos",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",2,2,4,3,4,3,4,2,1,4,4,3,2,3,3,4,3,4,3,3,3,3,4,3,2,4,3,3,3,3,4,4,4,3,4,4,4,3,4,4,3,3,4,3,4,4,4,3,3,3,3,2,3,2,4,3
59,Estudiante,Mujer,24,Educación a Distancia,"Forma de la copa, Hojas, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,4,5,5
60,Estudiante,Mujer,20,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Corteza",5,Producen oxígeno,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5
61,Administrativo,Mujer,58,Administración Central,"Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Producen oxígeno, Reducen la erosión",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
62,Estudiante,Mujer,18,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Almacenan carbono",2,2,4,5,4,4,3,2,4,3,3,3,5,4,5,5,5,4,3,3,4,4,3,3,5,4,3,3,5,4,4,5,4,4,4,3,3,3,3,3,3,5,4,5,4,3,3,3,3,4,2,3,4,4,4,3
63,Administrativo,Hombre,34,Administración Central,"Hojas, Flores, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",0,3,0,0,1,3,0,5,4,3,3,2,3,0,3,2,1,0,3,2,2,3,3,3,4,3,4,4,2,3,3,2,1,1,1,0,1,2,0,3,1,5,2,3,2,3,0,1,5,0,4,4,3,4,3,2
64,Estudiante,Mujer,20,Facultad Agropecuaria y de Recursos Naturales Renovables,"Flores, Frutos",5,"Dan sombra y regulan la temperatura, Producen oxígeno",4,4,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
65,Estudiante,Mujer,22,Educación a Distancia,"Forma de la copa, Hojas, Tronco",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
66,Estudiante,Hombre,40,Educación a Distancia,"Forma de la copa, Flores, Frutos",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",5,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,4,4,5,5,4,5,4,5,4
67,Estudiante,Hombre,24,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Reducen la erosión",4,4,4,3,4,3,5,4,5,4,5,5,5,3,4,4,4,5,4,4,4,4,4,3,4,5,4,4,5,4,4,4,4,4,3,4,5,4,4,4,5,4,5,5,5,4,4,3,3,4,4,4,3,3,4,3
68,Estudiante,Mujer,29,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
69,Administrativo,Mujer,33,Facultad de la Salud Humana,"Forma de la copa, Flores, Tronco",5,"Proporcionan paz y tranquilidad, Colectan las partículas del aire contaminado, Producen oxígeno",5,4,5,3,3,3,4,3,4,5,5,3,3,5,5,5,3,5,3,5,4,3,4,5,3,5,5,3,5,5,5,5,3,4,3,5,2,3,3,4,5,3,5,4,5,4,3,4,2,3,4,2,5,3,5,3
70,Estudiante,Mujer,22,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Hojas, Tronco",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,3,3,3,3,5,3,2,5,3,4,2,4,5,5,4,3,5,5,1,1,2,5,5,5,5,3,5,3,3,3,5,3,4,5,5,4,2,2,5,5,4,5,5,4,3,3,4,5,4,3,3,4,2,2,2
71,Estudiante,Mujer,20,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Dan sombra y regulan la temperatura",5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,5,5,5,4,5,4,4
72,Estudiante,Mujer,19,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",4,3,4,3,3,3,4,4,4,3,4,4,4,4,5,4,4,5,4,3,4,4,4,4,3,5,4,4,4,3,4,3,3,3,3,3,5,3,3,5,4,5,3,4,4,3,4,3,3,3,3,3,4,3,3,4
73,Administrativo,Hombre,35,Administración Central,"Hojas, Flores, Frutos",5,"Dan sombra y regulan la temperatura, Reducen la erosión, Refugio de vida silvestre",3,5,1,4,5,5,5,5,5,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,2,5,5,5,5,5,2,2,5,2,5,5,3,4,5,5
74,Estudiante,Mujer,23,Educación a Distancia,"Forma de la copa, Flores, Frutos",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",4,4,5,5,3,3,4,0,4,5,5,5,5,2,5,4,4,5,5,5,4,5,5,3,5,5,1,4,5,1,4,2,0,2,4,5,5,5,3,4,5,4,5,5,5,5,4,1,2,5,1,2,1,1,5,4
75,Estudiante,Mujer,19,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Almacenan carbono",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
76,Estudiante,Mujer,19,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Corteza",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",3,3,3,4,3,4,3,2,3,4,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,5,3,3,5,4,5,5,4,4,3,4,4,3,3,4,4,3,3,3,3,4,3,4,3,3,2,2,4,3,3,3
77,Estudiante,Hombre,20,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Frutos, Raíces",5,"Embellecen el lugar, Colectan las partículas del aire contaminado, Producen oxígeno",5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,4,5,5,4,5,5,3,5,5,3,5,5,5
78,Estudiante,Hombre,23,Facultad Agropecuaria y de Recursos Naturales Renovables,Hojas,5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",3,5,2,1,2,4,2,3,5,2,4,3,3,2,5,4,3,3,3,2,2,2,1,3,4,4,3,3,4,3,3,4,4,4,4,2,3,3,3,2,4,3,4,3,3,3,1,3,3,2,2,4,3,2,2,2
79,Docente,Hombre,27,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Flores",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",2,4,3,4,3,4,2,2,4,2,3,3,2,5,4,4,3,5,4,4,4,5,4,4,4,5,4,3,3,3,4,3,5,5,5,4,5,3,4,5,5,4,4,5,5,3,5,3,3,5,4,4,5,4,4,4
80,Administrativo,Hombre,32,Administración Central,"Flores, Frutos, Tronco",5,"Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado, Refugio de vida silvestre",5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,4,5,5,5,4
81,Administrativo,Hombre,29,Administración Central,"Forma de la copa, Flores, tamaño, minimalismo ",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",0,5,0,0,5,0,0,5,4,0,5,0,0,0,0,5,0,0,5,5,0,5,5,5,4,5,5,5,5,0,0,0,5,0,0,5,0,0,0,0,5,5,0,5,5,0,0,5,0,0,0,0,0,0,0,0
82,Docente,Hombre,40,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Flores, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5
83,Administrativo,Hombre,56,Administración Central,Flores,4,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",2,2,4,2,3,3,3,2,4,2,3,3,3,2,2,2,3,4,3,2,3,2,2,3,4,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,4,2,3,2,3,2,1,2,2,2,3,2,2,2,3
84,Administrativo,Mujer,58,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
85,Docente,Mujer,35,"Facultad de la Educación, el Arte y la Comunicación","Flores, Frutos, Tronco",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",5,5,5,5,5,4,4,5,5,3,3,3,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,4,5,3,5,3
86,Estudiante,Hombre,21,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Forma de la copa, Frutos, Tronco",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",4,2,5,3,3,5,3,3,3,3,3,3,5,3,5,5,4,5,5,5,3,3,3,3,3,3,3,5,3,5,5,3,3,3,3,5,5,3,3,5,5,3,3,3,3,3,5,3,2,5,5,3,5,3,3,5
87,Estudiante,Mujer,19,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
88,Administrativo,Mujer,27,Administración Central,"Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Reducen la erosión",3,4,3,3,3,4,4,4,3,3,4,3,3,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,4,3,4,4
89,Docente,Mujer,29,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado",0,0,5,5,5,5,0,5,5,4,5,0,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5
90,Estudiante,Mujer,22,Facultad de la Salud Humana,"Forma de la copa, Hojas, Tronco",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Refugio de vida silvestre",2,5,1,4,4,5,4,5,5,5,5,3,5,4,5,3,1,4,4,2,3,5,5,5,5,4,4,5,5,4,4,5,5,5,4,4,4,2,1,5,5,5,4,4,4,3,3,1,4,3,5,2,4,2,3,4
91,Trabajador,Hombre,57,Administración Central,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Reducen la erosión",3,5,4,3,5,4,5,5,5,5,5,5,5,3,5,4,4,4,4,4,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,3,3,4,4,4,3,5,5,5,3,3,3,5,5,3,4,5,4,4,5,4
92,Administrativo,Mujer,58,Facultad de la Salud Humana,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Colectan las partículas del aire contaminado",5,5,3,3,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,4,3,4,5,4,5,4,4,3,5,3,3,4,3,3,3,3,3,4,3,3,4,5,5,5,4,3,3,3,5,3,5,5,3,5,5,3
93,Administrativo,Hombre,39,Administración Central,"Forma de la copa, Tronco",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",5,3,4,2,3,3,4,3,4,3,4,3,3,2,3,3,3,5,2,2,4,4,4,4,3,4,3,3,3,3,3,4,3,4,4,5,2,3,3,5,5,3,3,4,3,3,5,3,3,5,3,2,2,3,3,2
94,Estudiante,Mujer,18,"Facultad de la Educación, el Arte y la Comunicación",Forma de la copa,5,"Embellecen el lugar, Colectan las partículas del aire contaminado, Producen oxígeno",4,2,3,2,4,4,4,4,4,5,4,4,4,1,4,5,4,2,3,5,2,5,4,4,4,4,5,4,5,4,4,1,2,4,4,4,3,4,5,5,1,4,4,1,4,4,1,5,3,1,3,4,4,4,5,4
95,Estudiante,Mujer,39,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Flores, Tronco",5,"Colectan las partículas del aire contaminado, Producen oxígeno, Refugio de vida silvestre",5,3,4,4,5,5,5,5,5,5,5,4,4,5,5,4,3,5,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,4,5,5,5,4,4,5,4,3,2,5,3,5,4
96,Administrativo,Hombre,46,Administración Central,"Forma de la copa, Flores, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",1,4,3,1,4,4,3,3,4,3,5,3,3,1,5,5,2,5,3,3,2,2,5,2,4,5,3,5,2,2,2,4,3,3,5,4,1,2,4,5,5,5,2,5,4,3,1,3,3,3,4,4,4,3,2,2
97,Estudiante,Mujer,22,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado",3,4,5,4,5,4,4,4,5,4,5,5,5,5,5,3,4,5,5,4,3,5,5,5,5,5,4,5,5,4,4,4,5,4,5,5,5,3,4,5,5,5,5,5,5,5,5,4,4,5,4,3,5,3,5,3
98,Docente,Mujer,59,Facultad de la Salud Humana,"Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
99,Administrativo,Mujer,59,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5
100,Estudiante,Hombre,19,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Forma de la copa, Frutos, Tronco",5,"Proporcionan paz y tranquilidad, Producen oxígeno, Refugio de vida silvestre",5,4,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,5,3,4,5,3,5,5
101,Estudiante,Mujer,25,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Frutos",4,"Embellecen el lugar, Dan sombra y regulan la temperatura, Reducen la erosión",2,2,1,4,2,2,2,2,2,4,4,3,4,4,5,2,2,4,2,2,2,3,2,2,2,3,2,4,2,2,3,2,1,1,1,2,4,1,1,5,4,4,1,1,1,1,0,2,2,1,2,2,4,2,3,3
102,Estudiante,Hombre,25,Educación a Distancia,"Forma de la copa, Corteza, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
103,Estudiante,Mujer,20,"Facultad de la Educación, el Arte y la Comunicación",Flores,4,Embellecen el lugar,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,4,4,3,4,4,3,4,4,4,3,2,1,2,4,2,2,2,3,3,3,2,1,2,2,3,4,3,3,3,3,3,3,3,2
104,Administrativo,Mujer,57,Facultad de la Salud Humana,"Forma de la copa, Flores",4,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",5,5,4,4,5,5,4,4,5,5,4,4,3,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,5,5,5,4,4
105,Estudiante,Hombre,20,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Hojas, Flores",5,"Producen oxígeno, Reducen la erosión, Refugio de vida silvestre",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
106,Docente,Hombre,32,"Facultad de la Educación, el Arte y la Comunicación","Hojas, Flores, Corteza",5,"Proporcionan paz y tranquilidad, Producen oxígeno, Reducen la erosión",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
107,Estudiante,Mujer,20,"Facultad Jurídica, Social y Administrativa","Flores, Frutos, Tronco",5,"Proporcionan paz y tranquilidad, Producen oxígeno, Refugio de vida silvestre",5,3,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,5,4,5,4,4,5,4,5,5
108,Estudiante,Hombre,24,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Hojas, Frutos",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
109,Administrativo,Hombre,38,Administración Central,"Hojas, Flores, Frutos",5,"Proporcionan paz y tranquilidad, Almacenan carbono, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,4,5,4,5,5,4,5,5
110,Estudiante,Hombre,23,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Flores",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",5,5,4,5,4,5,4,3,5,5,4,4,5,5,5,3,4,5,5,5,3,5,4,4,5,4,4,4,5,5,4,5,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,5,5,4,5,5,5,2,5,5
111,Docente,Hombre,37,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Refugio de vida silvestre",1,4,0,3,1,1,2,2,5,1,5,2,4,3,5,4,2,0,2,2,2,4,4,1,4,5,3,5,4,4,4,4,4,4,1,0,2,1,1,1,0,5,5,4,2,1,0,1,3,0,2,1,3,2,1,3
112,Docente,Mujer,57,"Facultad de la Educación, el Arte y la Comunicación","Flores, Frutos, Tronco",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,4,5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,2,5,4,3,4,5,5,5
113,Estudiante,Mujer,30,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Flores, Tronco",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,5,5,5,5,4,5,5,4,3,5,5,5,5,5,5,3,5,5,4,5,5,4,5,4,5,4
114,Administrativo,Mujer,55,Facultad Agropecuaria y de Recursos Naturales Renovables,TODOS,5,"Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
115,Docente,Mujer,40,Facultad Agropecuaria y de Recursos Naturales Renovables,"Flores, Frutos, Tronco",5,"Almacenan carbono, Producen oxígeno, Refugio de vida silvestre",5,2,3,3,5,5,5,5,5,5,5,5,5,2,5,5,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,2,5,5,1,2,5,5,5,5,5,3,3,5,3,5,4,4,5,5,5
116,Trabajador,Mujer,40,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Producen oxígeno, Reducen la erosión",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
117,Estudiante,Mujer,18,Educación a Distancia,Tronco,5,"Proporcionan paz y tranquilidad, Producen oxígeno, Refugio de vida silvestre",3,3,3,4,4,4,3,3,2,4,4,4,4,5,3,4,3,5,4,3,3,2,3,4,2,4,3,4,4,4,4,5,4,4,3,4,3,2,4,5,5,3,5,4,4,2,3,2,3,4,3,4,5,2,2,2
118,Estudiante,Mujer,31,Educación a Distancia,"Forma de la copa, Hojas, Flores",5,"Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado, Producen oxígeno",5,5,5,3,4,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,4,5,3,4,5,4,5,4,3,4,4,3,4,5,5,4,4,4,4,4,5,5,4,4,5,5,5,4,4
